,index,artists,acousticness,danceability,energy,id,instrumentalness,key,liveness,loudness,mode,name,speechiness,tempo,valence
0,15606,['Coldplay'],0.00239,0.429,0.6609999999999999,3AJwUDP919kvQ9QcozQPxg,0.000121,11,0.234,-7.227,1,Yellow,0.0281,173.372,0.285
1,15607,['OutKast'],0.143,0.843,0.8059999999999999,0I3q5fE6wg7LIfHGngUTnV,0.0,4,0.0771,-5.9460000000000015,0,Ms. Jackson,0.269,94.948,0.613
2,15608,['Linkin Park'],0.00958,0.556,0.8640000000000001,60a0Rd6pjrkxjPbaKzXjfq,0.0,3,0.209,-5.87,0,In the End,0.0584,105.143,0.4
3,15609,['3 Doors Down'],0.00664,0.545,0.865,6ZOBP3NvffbU4SZcrnt1k6,1.1e-05,11,0.168,-5.7079999999999975,0,Kryptonite,0.0286,99.009,0.5429999999999999
4,15610,['Eminem'],0.0302,0.949,0.6609999999999999,3yfqSUWxFvZELEM4PmlwIR,0.0,5,0.0454,-4.244,0,The Real Slim Shady,0.0572,104.504,0.76
5,15611,['Disturbed'],0.000996,0.695,0.8759999999999999,40rvBMQizxkIqnjPdEWY1v,6.89e-06,3,0.106,-4.262,0,Down with the Sickness,0.0553,89.954,0.941
6,15612,"['Nelly', 'City Spud']",0.0616,0.85,0.7,3Gf5nttwcX9aaSQXRWidEZ,1.8e-06,7,0.244,-6.49,1,Ride Wit Me,0.0478,101.875,0.722
7,15613,"['Eminem', 'Dido']",0.0371,0.78,0.768,3UmaczJpikHgJFyBTAJVoz,2.34e-06,6,0.518,-4.325,0,Stan,0.238,80.063,0.507
8,15614,['*NSYNC'],0.031,0.61,0.926,62bOmKYxYg7dhrC6gH9vFn,0.0012,8,0.0821,-4.843,0,Bye Bye Bye,0.0479,172.638,0.861
9,15615,['Travis Tritt'],0.246,0.595,0.653,3oW6SWwGqiZSPTiAp7ZQoH,0.0,7,0.264,-4.935,1,It's A Great Day To Be Alive,0.0265,128.93,0.542
10,15616,['Britney Spears'],0.3,0.7509999999999999,0.8340000000000001,6naxalmIoLFWR0siv8dnQQ,1.77e-05,1,0.355,-5.444,0,Oops!...I Did It Again,0.0437,95.053,0.894
11,15617,['Coldplay'],0.748,0.371,0.268,7D0RhFcb3CrfPuTJ0obrod,0.0517,1,0.104,-10.505999999999998,1,Sparks,0.0281,102.617,0.165
12,15618,['Linkin Park'],0.0014,0.4920000000000001,0.969,3K4HG9evC7dg3N0R9cYqk4,1.32e-06,9,0.0787,-4.419,1,One Step Closer,0.0491,95.136,0.5379999999999999
13,15619,"['Shaggy', 'Rik Rok']",0.0561,0.853,0.606,3WkibOpDF7cQ5xntM1epyf,0.0,0,0.313,-4.596,1,It Wasn't Me,0.0713,94.759,0.654
14,15620,['Nelly'],0.00689,0.865,0.664,3wMUvT6eIw2L5cZFG1yH9j,0.0,2,0.142,-6.822,1,Country Grammar (Hot Shit),0.108,162.83100000000005,0.565
15,15621,['Paul Anka'],0.747,0.547,0.335,2DpJ9T2RVRanZcYFHKOAfA,0.0,4,0.101,-9.2,0,Put Your Head On My Shoulder,0.0307,115.838,0.474
16,15622,['The Beatles'],0.0112,0.386,0.607,0aym2LBJBk9DAYuHHutrIl,1.3800000000000008e-05,10,0.088,-7.7,1,Hey Jude - Remastered 2015,0.0261,147.207,0.532
17,15623,['Uncle Kracker'],0.439,0.8170000000000001,0.585,4KoecuyOpZaNFZ0UqVsllc,0.0,5,0.147,-4.688,1,Follow Me,0.0301,105.014,0.916
18,15624,['UB40'],0.00414,0.857,0.468,4uOKFydzAejjSFqYbv1XPt,1.32e-05,1,0.269,-8.53,1,Red Red Wine,0.0476,89.119,0.843
19,15625,['The Beatles'],0.386,0.49,0.715,4pbG9SUmWIvsROVLF0zF9s,0.0,7,0.311,-5.549,1,I Want To Hold Your Hand - Remastered 2015,0.0476,130.726,0.866
20,15626,['Lifehouse'],0.00118,0.541,0.8640000000000001,0wqOReZDnrefefEsrIGeR4,0.0,1,0.0896,-4.915,1,Hanging By A Moment,0.0357,124.557,0.435
21,15627,['Linkin Park'],0.0466,0.58,0.7020000000000001,57BrRMwf9LrcmuOsyGilwr,3.2e-06,4,0.536,-5.565,1,Crawling,0.0337,105.076,0.299
22,15628,['OutKast'],0.0281,0.725,0.64,6glsMWIMIxQ4BedzLqGVi4,0.0,5,0.099,-7.905,0,"So Fresh, So Clean",0.332,166.028,0.915
23,15629,['Bon Jovi'],0.0263,0.551,0.913,0v1XpBHnsbkCn7iJ9Ucr1l,1.35e-05,0,0.347,-4.063,0,It's My Life,0.0466,119.992,0.544
24,15630,['Ray Parker Jr.'],0.0125,0.779,0.7170000000000001,300zfRaCgTmEm5Eqe3HqZZ,0.0536,6,0.355,-9.7,0,Ghostbusters,0.0335,115.384,0.789
25,15631,['Sam Cooke'],0.627,0.691,0.507,2g2GkH3vZHk4lWzBjgQ6nY,0.0,11,0.457,-10.23,1,(What A) Wonderful World,0.0343,128.518,0.885
26,15632,['Limp Bizkit'],0.00591,0.603,0.933,3IV4swNduIRunHREK80owz,0.0,1,0.206,-3.358,1,Rollin' (Air Raid Vehicle),0.171,96.306,0.7090000000000001
27,15633,['Lee Ann Womack'],0.0632,0.385,0.443,65B1tEOv5W294uCKbmEcFV,0.0,7,0.0898,-9.627,0,I Hope You Dance,0.0295,151.278,0.275
28,15634,['Nine Days'],0.000891,0.481,0.94,3mNecsYFb6LQg7822DPXCP,0.0,7,0.0939,-5.204,1,Absolutely (Story of a Girl) - Radio Mix,0.066,96.493,0.66
29,15635,"['Shaggy', 'Rayvon']",0.116,0.74,0.7659999999999999,7FDV5ELOJHCGLe52AnttEd,0.0,6,0.0406,-2.939,1,Angel,0.178,170.53099999999995,0.807
30,15636,['Gloria Gaynor'],0.0131,0.777,0.725,7cv28LXcjAC3GsXbUvXKbX,0.00805,0,0.246,-8.681000000000001,1,I Will Survive - Single Version,0.05,116.669,0.529
31,15637,['Eminem'],0.144,0.785,0.871,23wfXwnsPZYe5A1xXRHb3J,0.0,4,0.309,-2.692,0,The Way I Am,0.265,87.24799999999998,0.315
32,15638,['Deftones'],0.000249,0.269,0.853,51c94ac31swyDQj9B3Lzs3,0.000246,7,0.118,-4.647,0,Change (In the House of Flies),0.0854,141.58100000000005,0.179
33,15639,['Linkin Park'],0.00022,0.524,0.939,1Vej0qeQ3ioKwpI6FUbRv1,0.0,9,0.623,-3.994,1,Papercut,0.113,150.184,0.6609999999999999
34,15640,['*NSYNC'],0.0407,0.636,0.873,2AW37v0bDyuOzGP3XnmFuA,1.27e-06,0,0.0372,-4.672,0,It's Gonna Be Me,0.071,165.071,0.908
35,15641,['Britney Spears'],0.1689999999999999,0.669,0.843,0YWUHZPJVg4iujddsJDwhM,0.0,0,0.195,-3.766,1,My Only Wish (This Year),0.0268,147.08,0.7020000000000001
36,15642,['U2'],0.014,0.539,0.926,1VuBmEauSZywQVtqbxNqka,0.00136,2,0.36,-6.495,1,Beautiful Day,0.0499,136.279,0.454
37,15643,['Toploader'],0.0624,0.632,0.858,3Fzlg5r1IjhLk2qRw667od,0.0,10,0.347,-3.463,1,Dancing in the Moonlight,0.035,119.397,0.872
38,15644,['Sam Cooke'],0.778,0.523,0.402,0WVTQp3SOCuMr08jh1jweV,0.0,0,0.4320000000000001,-8.232999999999999,1,Bring It On Home to Me,0.0305,70.863,0.675
39,15645,['Aaron Y Su Grupo Ilusion'],0.176,0.64,0.505,5gUoppDphfYsIiguGr5drh,0.0,10,0.0769,-5.766,1,Todo Me Gusta De Ti,0.0362,180.625,0.7859999999999999
